conceptId,term,RecordDate,code_list,cond_code,cond_description,cond_short,cond_abbreviation,icd10
75524006,Malnutrition related diabetes mellitus,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E122
363518003,Malignant tumour of kidney,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C65X
172924008,Functional endoscopic sinus surgery - anterior ethmoidectomy and frontal recess dissection,20201104,cam_cprdcam_sin149_mc_v1_1_oct2018_snomedct,sin149,Chronic sinusitis,Chronic sinusitis,SIN,#NIS
201774005,Rheumatoid arthritis of distal interphalangeal joint of finger,20201104,cam_cprdcam_rhe174_mc_v1_1_oct2018_snomedct,rhe174,"Rheumatoid arthritis, other inflammatory polyarthropathies & systematic connective tissue disorders",Rheumatoid arthritis,RHE,M058
230444006,Menstrual epilepsy,20201104,cam_cprdcam_epi155_mc_v1_1_oct2018_snomedct,epi155,Epilepsy (currently treated),Epilepsy,EPI,G405
373606000,Occlusive stroke (disorder),20201104,cam_cprdcam_str130_mc_v1_1_oct2018_snomedct,str130,Stroke & transient ischaemic attack,Stroke & transient ischaemic attack,STR,I636
270902002,Overeating associated with other psychological disturbances,20201104,cam_cprdcam_anx140_mc_v1_1_oct2018_snomedct,anx140,"Anxiety & other neurotic, stress related & somatoform disorders",Anxiety,ANX,F504
314010006,Diffuse diabetic maculopathy,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,O249
118615008,Malignant mast cell tumor (clinical),20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,M9740/3
201785007,Rheumatoid arthritis of interphalangeal joint of toe,20201104,cam_cprdcam_rhe174_mc_v1_1_oct2018_snomedct,rhe174,"Rheumatoid arthritis, other inflammatory polyarthropathies & systematic connective tissue disorders",Rheumatoid arthritis,RHE,J990A
111479008,Organic mental disorder,20201104,cam_cprdcam_epi155_mc_v1_1_oct2018_snomedct,epi155,Epilepsy (currently treated),Epilepsy,EPI,T481D
111479008,Organic mental disorder,20201104,cam_cprdcam_scz175_mc_v1_1_oct2018_snomedct,scz175,Schizophrenia (and related non-organic psychosis) or bipolar disorder,Schizophrenia,SCZ,T491D
111479008,Organic mental disorder,20201104,cam_cprdcam_scz175_mc_v1_1_oct2018_snomedct,scz175,Schizophrenia (and related non-organic psychosis) or bipolar disorder,Schizophrenia,SCZ,T401D
111479008,Organic mental disorder,20201104,cam_cprdcam_scz175_mc_v1_1_oct2018_snomedct,scz175,Schizophrenia (and related non-organic psychosis) or bipolar disorder,Schizophrenia,SCZ,E031D
111479008,Organic mental disorder,20201104,cam_cprdcam_dem131_mc_v1_1_oct2018_snomedct,dem131,Dementia,Dementia,DEM,T482D
109978004,T-cell lymphoma (clinical),20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C866
71251000119103,Family history of nonleukemic lymphatic malignancy (situation),20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,Z807
11061003,Psychoactive substance use disorder,20201104,cam_cprdcam_psm173_mc_v1_1_oct2018_snomedct,psm173,Psychoactive substance misuse (NOT ALCOHOL),Psychoactive substance misuse (not alcohol),PSM,F168
91388009,Psychoactive substance abuse,20201104,cam_cprdcam_alc138_mc_v1_1_oct2018_snomedct,alc138,Alcohol problems,Alcohol problems,ALC,F140
91388009,Psychoactive substance abuse,20201104,cam_cprdcam_alc138_mc_v1_1_oct2018_snomedct,alc138,Alcohol problems,Alcohol problems,ALC,F102
190388001,Type II diabetes mellitus with multiple complications,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,M908A
267382005,Diabetes mellitus with neurological manifestation,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,O241
201773004,Rheumatoid arthritis of proximal interphalangeal joint of finger,20201104,cam_cprdcam_rhe174_mc_v1_1_oct2018_snomedct,rhe174,"Rheumatoid arthritis, other inflammatory polyarthropathies & systematic connective tissue disorders",Rheumatoid arthritis,RHE,M069
127056008,Chronic cold agglutinin disease associated with B-cell neoplasm,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,D591
191570001,Chronic schizoaffective schizophrenia,20201104,cam_cprdcam_scz175_mc_v1_1_oct2018_snomedct,scz175,Schizophrenia (and related non-organic psychosis) or bipolar disorder,Schizophrenia,SCZ,#NIS
97531000119106,History of parietal cerebrovascular accident,20201104,cam_cprdcam_str130_mc_v1_1_oct2018_snomedct,str130,Stroke & transient ischaemic attack,Stroke & transient ischaemic attack,STR,Z867
31186001,Chondroma,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,D161
713121000,Management of fatigue (regime/therapy),20201104,cam_cprdcam_anx140_mc_v1_1_oct2018_snomedct,anx140,"Anxiety & other neurotic, stress related & somatoform disorders",Anxiety,ANX,#NIS
16990005,Subchronic schizophrenia,20201104,cam_cprdcam_scz175_mc_v1_1_oct2018_snomedct,scz175,Schizophrenia (and related non-organic psychosis) or bipolar disorder,Schizophrenia,SCZ,#NIS
314011005,Focal diabetic maculopathy,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,O249
191466007,Arteriosclerotic dementia with depression,20201104,cam_cprdcam_str130_mc_v1_1_oct2018_snomedct,str130,Stroke & transient ischaemic attack,Stroke & transient ischaemic attack,STR,F339
52448006,Dementia,20201104,cam_cprdcam_scz175_mc_v1_1_oct2018_snomedct,scz175,Schizophrenia (and related non-organic psychosis) or bipolar disorder,Schizophrenia,SCZ,G300D
120241000119100,Glomerulonephritis due to hepatitis C (disorder),20201104,cam_cprdcam_cld148_mc_v1_1_oct2018_snomedct,cld148,Chronic Liver Disease and Viral Hepatitis,Chronic Liver Disease,CLD,N017
370221004,Severe asthma (finding),20201104,cam_cprdcam_ast142_mc_v1_1_oct2018_snomedct,ast142,Asthma (currently treated),Asthma,AST,J451
442423001,Single liveborn born in hospital by caesarean section,20201104,cam_cprdcam_psm173_mc_v1_1_oct2018_snomedct,psm173,Psychoactive substance misuse (NOT ALCOHOL),Psychoactive substance misuse (not alcohol),PSM,Z380
398274000,Coronary artery thrombosis (disorder),20201104,cam_cprdcam_chd126_mc_v1_1_oct2018_snomedct,chd126,Coronary heart disease,Coronary heart disease,CHD,I213
449377002,Malignant neoplasm of pelvic peritoneum (disorder),20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C786
255069008,"Carcinoma of lip, oral cavity and pharynx",20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,M8010/3
413838009,Chronic ischemic heart disease (disorder),20201104,cam_cprdcam_chd126_mc_v1_1_oct2018_snomedct,chd126,Coronary heart disease,Coronary heart disease,CHD,I258
314550003,H/O: deliberate self harm,20201104,cam_cprdcam_anx140_mc_v1_1_oct2018_snomedct,anx140,"Anxiety & other neurotic, stress related & somatoform disorders",Anxiety,ANX,#NEW
26852004,"Primary degenerative dementia of the Alzheimer type, senile onset, with depression",20201104,cam_cprdcam_scz175_mc_v1_1_oct2018_snomedct,scz175,Schizophrenia (and related non-organic psychosis) or bipolar disorder,Schizophrenia,SCZ,G301D
11387009,Psychoactive substance-induced organic mental disorder,20201104,cam_cprdcam_psm173_mc_v1_1_oct2018_snomedct,psm173,Psychoactive substance misuse (NOT ALCOHOL),Psychoactive substance misuse (not alcohol),PSM,F105
399862001,Proliferative diabetic retinopathy - high risk with no macular edema (disorder),20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,H360A
408411003,O/E - right eye preproliferative diabetic retinopathy (context-dependent category),20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,H360A
9829001,Gastric ulcer with perforation,20201104,cam_cprdcam_pep135_mc_v1_1_oct2018_snomedct,pep135,Peptic Ulcer Disease,Peptic Ulcer Disease,PUD,K256
441719005,Speech and language developmental delay due to hearing loss (disorder),20201104,cam_cprdcam_hel157_mc_v1_1_oct2018_snomedct,hel157,Hearing loss,Hearing loss,HL,H912
59997006,Endocrine hypertension,20201104,cam_cprdcam_hyp159_mc_v1_1_oct2018_snomedct,hyp159,Hypertension,Hypertension,HYP,P000
160268005,No FH: Allergy,20201104,cam_cprdcam_psm173_mc_v1_1_oct2018_snomedct,psm173,Psychoactive substance misuse (NOT ALCOHOL),Psychoactive substance misuse (not alcohol),PSM,#NIS
91388009,Psychoactive substance abuse,20201104,cam_cprdcam_alc138_mc_v1_1_oct2018_snomedct,alc138,Alcohol problems,Alcohol problems,ALC,F148
91388009,Psychoactive substance abuse,20201104,cam_cprdcam_psm173_mc_v1_1_oct2018_snomedct,psm173,Psychoactive substance misuse (NOT ALCOHOL),Psychoactive substance misuse (not alcohol),PSM,F104
191457008,Senile dementia with depressive or paranoid features,20201104,cam_cprdcam_dem131_mc_v1_1_oct2018_snomedct,dem131,Dementia,Dementia,DEM,#NC
111557001,Diabetes with coma,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E130
56675007,Acute heart failure,20201104,cam_cprdcam_hef158_mc_v1_1_oct2018_snomedct,hef158,Heart failure,Heart failure,HF,I515
93196000,Malignant lymphoma of lymph nodes of inguinal region AND/OR lower limb,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C851
421437000,Hypoglycemic coma in type I diabetes mellitus (disorder),20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,R402
190361006,Diabetes mellitus NOS with peripheral circulatory disorder,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E135
399877009,Very severe nonproliferative diabetic retinopathy with clinically significant macular edema (disorder),20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,O244
49221000119108,History of pheochromocytoma (situation),20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,Z860
191466007,Arteriosclerotic dementia with depression,20201104,cam_cprdcam_dem131_mc_v1_1_oct2018_snomedct,dem131,Dementia,Dementia,DEM,F330
191466007,Arteriosclerotic dementia with depression,20201104,cam_cprdcam_dep152_mc_v1_1_oct2018_snomedct,dep152,Depression,Depression,DEP,F331
281350007,Arthritis secondary to hematological malignancy,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C902D
281350007,Arthritis secondary to hematological malignancy,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C914
312904009,Moderate non proliferative diabetic retinopathy,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E113D
120241000119100,Glomerulonephritis due to hepatitis C (disorder),20201104,cam_cprdcam_cld148_mc_v1_1_oct2018_snomedct,cld148,Chronic Liver Disease and Viral Hepatitis,Chronic Liver Disease,CLD,N036
98921000119102,Pain due to neoplastic disease,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,#HLT
698076003,Osteoma of mandibular condyle (disorder),20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,M9180/0
31297008,Somatoform disorder,20201104,cam_cprdcam_anx140_mc_v1_1_oct2018_snomedct,anx140,"Anxiety & other neurotic, stress related & somatoform disorders",Anxiety,ANX,F458
31297008,Somatoform disorder,20201104,cam_cprdcam_anx140_mc_v1_1_oct2018_snomedct,anx140,"Anxiety & other neurotic, stress related & somatoform disorders",Anxiety,ANX,F450
191884001,Nondependent alcohol abuse in remission,20201104,cam_cprdcam_alc138_mc_v1_1_oct2018_snomedct,alc138,Alcohol problems,Alcohol problems,ALC,F101
736595007,Screening for malignant neoplasm of cervix declined (situation),20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,#NIS
160299006,FH: neoplasm of uterus,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,#NC
791000119109,Angina associated with type II diabetes mellitus,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,O241
191820008,Episodic opioid dependence,20201104,cam_cprdcam_psm173_mc_v1_1_oct2018_snomedct,psm173,Psychoactive substance misuse (NOT ALCOHOL),Psychoactive substance misuse (not alcohol),PSM,#NC
237621004,Diabetic severe hyperglycemia,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E121
237621004,Diabetic severe hyperglycemia,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E126
713425003,Spinal cord compression due to metastasis to spine (disorder),20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C795
29212009,Alcohol-induced organic mental disorder,20201104,cam_cprdcam_alc138_mc_v1_1_oct2018_snomedct,alc138,Alcohol problems,Alcohol problems,ALC,F100
35489007,Depressive disorder,20201104,cam_cprdcam_scz175_mc_v1_1_oct2018_snomedct,scz175,Schizophrenia (and related non-organic psychosis) or bipolar disorder,Schizophrenia,SCZ,F323
89555002,Cardiac edema,20201104,cam_cprdcam_hef158_mc_v1_1_oct2018_snomedct,hef158,Heart failure,Heart failure,HF,I132
111479008,Organic mental disorder,20201104,cam_cprdcam_epi155_mc_v1_1_oct2018_snomedct,epi155,Epilepsy (currently treated),Epilepsy,EPI,T456D
111479008,Organic mental disorder,20201104,cam_cprdcam_epi155_mc_v1_1_oct2018_snomedct,epi155,Epilepsy (currently treated),Epilepsy,EPI,F051
111479008,Organic mental disorder,20201104,cam_cprdcam_scz175_mc_v1_1_oct2018_snomedct,scz175,Schizophrenia (and related non-organic psychosis) or bipolar disorder,Schizophrenia,SCZ,E011D
111479008,Organic mental disorder,20201104,cam_cprdcam_dem131_mc_v1_1_oct2018_snomedct,dem131,Dementia,Dementia,DEM,T431D
111479008,Organic mental disorder,20201104,cam_cprdcam_dem131_mc_v1_1_oct2018_snomedct,dem131,Dementia,Dementia,DEM,F072
190366001,Type I diabetes mellitus with multiple complications,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,G632A
137991000119103,Seizure disorder as sequela of stroke,20201104,cam_cprdcam_str130_mc_v1_1_oct2018_snomedct,str130,Stroke & transient ischaemic attack,Stroke & transient ischaemic attack,STR,R568
201796004,Systemic onset juvenile chronic arthritis,20201104,cam_cprdcam_rhe174_mc_v1_1_oct2018_snomedct,rhe174,"Rheumatoid arthritis, other inflammatory polyarthropathies & systematic connective tissue disorders",Rheumatoid arthritis,RHE,M082
5211000119107,Abscess of intestine due to diverticular disease (disorder),20201104,cam_cprdcam_div154_mc_v1_1_oct2018_snomedct,div154,Diverticular disease of intestine,Diverticular disease of intestine,DIV,K570
54822007,Jejunal ulcer,20201104,cam_cprdcam_pep135_mc_v1_1_oct2018_snomedct,pep135,Peptic Ulcer Disease,Peptic Ulcer Disease,PUD,K287
93198004,Malignant lymphoma of spleen,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C851
290221007,Intentional narcotic poisoning,20201104,cam_cprdcam_psm173_mc_v1_1_oct2018_snomedct,psm173,Psychoactive substance misuse (NOT ALCOHOL),Psychoactive substance misuse (not alcohol),PSM,X622
46206005,Mood disorder,20201104,cam_cprdcam_scz175_mc_v1_1_oct2018_snomedct,scz175,Schizophrenia (and related non-organic psychosis) or bipolar disorder,Schizophrenia,SCZ,F188
363349007,Malignant tumor of stomach,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C164
363349007,Malignant tumor of stomach,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C166
266998003,H/O: peptic ulcer,20201104,cam_cprdcam_pep135_mc_v1_1_oct2018_snomedct,pep135,Peptic Ulcer Disease,Peptic Ulcer Disease,PUD,#NEW
10757401000119104,Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth (disorder),20201104,cam_cprdcam_hyp159_mc_v1_1_oct2018_snomedct,hyp159,Hypertension,Hypertension,HYP,O103
403314007,Hypertrichosis in hyperthyroidism (disorder),20201104,cam_cprdcam_thy179_mc_v1_1_oct2018_snomedct,thy179,Thyroid disorders,Thyroid disorders,THY,E059
40275004,Contact dermatitis,20201104,cam_cprdcam_pso171_mc_v1_1_oct2018_snomedct,pso171,Psoriasis or eczema,Psoriasis or eczema,PSO,L236
391178000,High risk non proliferative diabetic retinopathy (disorder),20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E123D
267307002,Hypertension of pregnancy NOS,20201104,cam_cprdcam_hyp159_mc_v1_1_oct2018_snomedct,hyp159,Hypertension,Hypertension,HYP,O100
731000119105,Chronic kidney disease stage 3 associated with type 2 diabetes mellitus,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,N298A
72041000119103,Osteomyelitis due to type 1 diabetes mellitus (disorder),20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,M863
73097000,Alcohol amnestic disorder,20201104,cam_cprdcam_alc138_mc_v1_1_oct2018_snomedct,alc138,Alcohol problems,Alcohol problems,ALC,F126
439442003,Esophageal bleeding due to ulcerative esophagitis (disorder),20201104,cam_cprdcam_pep135_mc_v1_1_oct2018_snomedct,pep135,Peptic Ulcer Disease,Peptic Ulcer Disease,PUD,K221
93522004,Hodgkin's disease of intrathoracic lymph nodes,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C813
16121001,Gastrojejunal ulcer,20201104,cam_cprdcam_pep135_mc_v1_1_oct2018_snomedct,pep135,Peptic Ulcer Disease,Peptic Ulcer Disease,PUD,K286
312978008,"Acquired blindness, both eyes",20201104,cam_cprdcam_bli144_mc_v1_1_oct2018_snomedct,bli144,Blindness and low vision,Blindness and low vision,BLI,S053
201805000,Juvenile arthritis in Crohn's disease,20201104,cam_cprdcam_ibd160_mc_v1_1_oct2018_snomedct,ibd160,Inflammatory bowel disease,Inflammatory bowel disease,IBD,K501
77690003,Interstitial emphysema of lung,20201104,cam_cprdcam_cop151_mc_v1_1_oct2018_snomedct,cop151,COPD,COPD,COPD,P252
104951000119106,Vitreous haemorrhage due to type 1 diabetes mellitus,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,O240
191973007,Psychogenic constipation,20201104,cam_cprdcam_anx140_mc_v1_1_oct2018_snomedct,anx140,"Anxiety & other neurotic, stress related & somatoform disorders",Anxiety,ANX,F453
133981000119106,Dysarthria as late effects of cerebrovascular disease,20201104,cam_cprdcam_str130_mc_v1_1_oct2018_snomedct,str130,Stroke & transient ischaemic attack,Stroke & transient ischaemic attack,STR,I691
26298008,Diabetic coma with ketoacidosis,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E130
187688008,Malignant tumour of posterior wall of oropharynx,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C103
39181008,Diabetic radiculopathy,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,O243
441574008,Atherosclerosis of artery,20201104,cam_cprdcam_chd126_mc_v1_1_oct2018_snomedct,chd126,Coronary heart disease,Coronary heart disease,CHD,I270
700214004,Antipsychotic drug therapy for dementia (procedure),20201104,cam_cprdcam_scz175_mc_v1_1_oct2018_snomedct,scz175,Schizophrenia (and related non-organic psychosis) or bipolar disorder,Schizophrenia,SCZ,#NIS
430534005,Family history of malignant neoplasm of thyroid (situation),20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,Z808
118608000,"Hodgkin's disease, nodular sclerosis (clinical)",20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C811
372140005,Carcinoma of gallbladder (disorder),20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C23X
426033005,Dysphagia as a late effect of cerebrovascular accident (disorder),20201104,cam_cprdcam_str130_mc_v1_1_oct2018_snomedct,str130,Stroke & transient ischaemic attack,Stroke & transient ischaemic attack,STR,I690
82771000119102,Hypertension complicating pregnancy (disorder),20201104,cam_cprdcam_hyp159_mc_v1_1_oct2018_snomedct,hyp159,Hypertension,Hypertension,HYP,O16X
109264009,Overlapping malignant neoplasm of skin,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C448
396230008,Dermatomyositis (disorder),20201104,cam_cprdcam_rhe174_mc_v1_1_oct2018_snomedct,rhe174,"Rheumatoid arthritis, other inflammatory polyarthropathies & systematic connective tissue disorders",Rheumatoid arthritis,RHE,M360A
56941009,Restrictive cardiomyopathy secondary to hemochromatosis,20201104,cam_cprdcam_cld148_mc_v1_1_oct2018_snomedct,cld148,Chronic Liver Disease and Viral Hepatitis,Chronic Liver Disease,CLD,I431A
10633002,Acute congestive heart failure,20201104,cam_cprdcam_hef158_mc_v1_1_oct2018_snomedct,hef158,Heart failure,Heart failure,HF,I132
43959009,Diabetic cataract,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E103D
390891009,Chronic obstructive pulmonary disease monitoring (regime/therapy),20201104,cam_cprdcam_cop151_mc_v1_1_oct2018_snomedct,cop151,COPD,COPD,COPD,#NIS
288254005,Maternal nutritional disorder,20201104,cam_cprdcam_psm173_mc_v1_1_oct2018_snomedct,psm173,Psychoactive substance misuse (NOT ALCOHOL),Psychoactive substance misuse (not alcohol),PSM,#NC
238795008,Hypertensive leg ulcer of Martorell,20201104,cam_cprdcam_hyp159_mc_v1_1_oct2018_snomedct,hyp159,Hypertension,Hypertension,HYP,O142
238795008,Hypertensive leg ulcer of Martorell,20201104,cam_cprdcam_hyp159_mc_v1_1_oct2018_snomedct,hyp159,Hypertension,Hypertension,HYP,O13X
422088007,Neurologic disorder associated with diabetes mellitus (disorder),20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E104D
1131000119105,Sequela of cerebrovascular accident (disorder),20201104,cam_cprdcam_str130_mc_v1_1_oct2018_snomedct,str130,Stroke & transient ischaemic attack,Stroke & transient ischaemic attack,STR,I692
307697007,Spontaneous eye movements associated with monocular visual loss,20201104,cam_cprdcam_bli144_mc_v1_1_oct2018_snomedct,bli144,Blindness and low vision,Blindness and low vision,BLI,H546
441656006,Hyperglycaemic crisis in diabetes mellitus,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,O244
408939007,Tobacco abuse prevention education (regime/therapy),20201104,cam_cprdcam_psm173_mc_v1_1_oct2018_snomedct,psm173,Psychoactive substance misuse (NOT ALCOHOL),Psychoactive substance misuse (not alcohol),PSM,#NIS
110171000119107,Leg ulcer due to type 2 diabetes mellitus,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,O241
62914000,Cerebrovascular disease,20201104,cam_cprdcam_str130_mc_v1_1_oct2018_snomedct,str130,Stroke & transient ischaemic attack,Stroke & transient ischaemic attack,STR,I633
403512005,Lupus erythematosus-associated poikiloderma (disorder),20201104,cam_cprdcam_rhe174_mc_v1_1_oct2018_snomedct,rhe174,"Rheumatoid arthritis, other inflammatory polyarthropathies & systematic connective tissue disorders",Rheumatoid arthritis,RHE,#PT
230578003,Diabetic truncal radiculopathy,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E124D
12295008,Bronchiectasis,20201104,cam_cprdcam_bro145_mc_v1_1_oct2018_snomedct,bro145,Bronchiectasis,Bronchiectasis,BRO,Q334
2776000,Delirium,20201104,cam_cprdcam_dem131_mc_v1_1_oct2018_snomedct,dem131,Dementia,Dementia,DEM,F190
127029006,Neoplasm of aortic body,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,#HLT
13746004,Bipolar disorder,20201104,cam_cprdcam_scz175_mc_v1_1_oct2018_snomedct,scz175,Schizophrenia (and related non-organic psychosis) or bipolar disorder,Schizophrenia,SCZ,F301
192051000,Adolescent emancipation disorder,20201104,cam_cprdcam_anx140_mc_v1_1_oct2018_snomedct,anx140,"Anxiety & other neurotic, stress related & somatoform disorders",Anxiety,ANX,#NIS
390834004,Non proliferative diabetic retinopathy (disorder),20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E123D
232720001,CABG x 2 - Coronary artery bypass grafts x 2,20201104,cam_cprdcam_chd126_mc_v1_1_oct2018_snomedct,chd126,Coronary heart disease,Coronary heart disease,CHD,#NIS
194790006,Secondary renovascular hypertension NOS,20201104,cam_cprdcam_hyp159_mc_v1_1_oct2018_snomedct,hyp159,Hypertension,Hypertension,HYP,O11X
275904003,H/O: neoplasm,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,Z854
209962000,Myeloma associated amyloidosis,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,M9731/3
93957005,Malignant neoplasm of pericardium,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C380
195475003,Oesophageal varices with bleeding in diseases EC,20201104,cam_cprdcam_cld148_mc_v1_1_oct2018_snomedct,cld148,Chronic Liver Disease and Viral Hepatitis,Chronic Liver Disease,CLD,B653D
237599002,Insulin-treated non-insulin-dependent diabetes mellitus,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E122
395099008,Cancer confirmed (context-dependent category),20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C809
85571008,Sensory hearing loss,20201104,cam_cprdcam_hel157_mc_v1_1_oct2018_snomedct,hel157,Hearing loss,Hearing loss,HL,H903
